POINTNUMBER,EASTING,NORTHING,ELEVATION,DESCRIPTION
1000,6127154.8208,2176465,0,BOUNDARY B
1001,6127164.4032,2176455.7698,0.0,BOUNDARY
1002,6127145.9049,2176438.3918,0.0,BOUNDARY
1003,6127128.1502,2176457.2761,0.0,BOUNDARY
1004,6127073.1466,2176515.7793,0.0,BOUNDARY
1005,6127424.6487,2176845.9934,0.0,BOUNDARY BC
1111,6127446.48159782,2176813.69209626,0.0,BOUNDARY
1006,6127469.1751,2176781.9895,0.0,BOUNDARY EC
1007,6127460.7425,2176776.574,0.0,BOUNDARY
1008,6127441.2414,2176764.05,0.0,BOUNDARY
1009,6127401.2133,2176738.3433,0.0,BOUNDARY BC
1112,6127343.16533243,2176638.86119432,0.0,BOUNDARY
1010,6127267.1763,2176552.3053,0.0,BOUNDARY EC
1011,6127226.3612,2176513.962,0.0,BOUNDARY
1012,6127216.7722,2176524.1692,0.0,BOUNDARY CLS E
1013,6127822.399,2176426.4316,0.0,BOUNDARY B
1014,6127811.8817,2176415.602,0.0,BOUNDARY
1015,6127484.384,2176078.377,0.0,BOUNDARY
1016,6127145.9049,2176438.3918,0.0,BOUNDARY
1017,6127164.4032,2176455.7698,0.0,BOUNDARY
1018,6127154.8208,2176465.9699,0.0,BOUNDARY
1019,6127216.7722,2176524.1692,0.0,BOUNDARY
1020,6127226.3612,2176513.962,0.0,BOUNDARY
1021,6127267.1763,2176552.3053,0.0,BOUNDARY BC
1113,6127343.16533243,2176638.86119432,0.0,BOUNDARY
1022,6127401.2133,2176738.3433,0.0,BOUNDARY EC
1023,6127441.2414,2176764.05,0.0,BOUNDARY
1024,6127460.7425,2176776.574,0.0,BOUNDARY BC
1114,6127594.29016776,2176619.59429871,0.0,BOUNDARY
1025,6127748.6129,2176482.985,0.0,BOUNDARY EC CLS E
1026,6127298.66566403,2175887.63240835,0.0,BOUNDARY B BC
1115,6127246.41558357,2176028.95311585,0.0,BOUNDARY
1027,6127113.46858731,2176099.85240682,0.0,BOUNDARY EC BC
1116,6126980.52159109,2176170.75169783,0.0,BOUNDARY
1028,6126928.27151066,2176312.07240532,0.0,BOUNDARY EC
1029,6127073.1466,2176515.7793,0.0,BOUNDARY
1030,6127128.1502,2176457.2761,0.0,BOUNDARY
1031,6127145.9049,2176438.3918,0.0,BOUNDARY
1032,6127484.384,2176078.377,0.0,BOUNDARY CLS E
